City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,srednekolymsk,67.45,153.6833,-25.08,99,100,3.96,RU,1669255318
335,yining,29.0361,114.5636,64.38,67,67,1.43,CN,1669255319
336,venado tuerto,-33.7456,-61.9688,74.77,31,1,2.59,AR,1669255319
337,taunggyi,20.7833,97.0333,65.1,69,74,1.28,MM,1669255319
338,teknaf,20.8624,92.3058,71.11,63,82,6.78,BD,1669255320
339,janakkala,60.9,24.6,20.8,88,100,6.06,FI,1669255320
340,san ramon,37.7799,-121.978,60.85,58,82,2.44,US,1669255268
341,brae,60.3964,-1.353,47.66,87,100,22.3,GB,1669255095
342,kruisfontein,-34.0033,24.7314,62.89,84,79,5.08,ZA,1669255320
343,dauriya,49.9333,116.8667,9.91,87,100,10.6,RU,1669255321
344,belmonte,-15.8631,-38.8828,74.37,88,95,5.57,BR,1669255140
345,ulladulla,-35.35,150.4667,66.69,62,20,9.57,AU,1669255321
346,tiksi,71.6872,128.8694,-27.11,100,100,3.62,RU,1669255321
347,clarksville,36.5298,-87.3595,51.33,47,57,5.08,US,1669255251
348,tanhacu,-14.0214,-41.2481,70.7,82,100,4.92,BR,1669255322
349,arawa,-6.2132,155.5367,83.28,74,100,3.36,PG,1669255322
350,waingapu,-9.6567,120.2641,87.28,62,100,7.23,ID,1669255322
351,hithadhoo,-0.6,73.0833,81.73,74,25,13.49,MV,1669255323
352,prado,-17.3411,-39.2208,74.12,89,100,6.71,BR,1669255233
353,songea,-10.6833,35.65,62.87,95,38,3.6,TZ,1669255324
354,kisiwani,-4.1333,37.95,67.32,95,87,2.37,TZ,1669255324
355,pohrebyshche,49.4864,29.2636,34.72,99,100,12.37,UA,1669255325
356,kasongo-lunda,-6.4667,16.8167,67.44,98,91,0.36,CD,1669255325
357,bhag,29.0415,67.8239,62.94,18,14,2.08,PK,1669255326
358,tessalit,20.1986,1.0114,68.13,16,99,9.48,ML,1669255326
359,mbini,1.574,9.6134,77.38,88,35,2.57,GQ,1669255327
